Timestamp	Filename	Error	Message
2025-09-17 19:00:17.108 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import operations started
2025-09-17 19:00:17.123 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of tables from clipboard started
2025-09-17 19:00:17.125 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Table “RandomDemo” imported as “RandomDemo 2” since a table or table occurrence named “RandomDemo” already exists.
2025-09-17 19:00:17.131 +0300	RandomDemo 2	0	fields imported : 8
2025-09-17 19:00:17.132 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	tables imported : 1
2025-09-17 19:00:17.133 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-17 19:01:38.799 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of fields from clipboard started
2025-09-17 19:01:38.801 +0300	RandomDemo	0	fields imported : 1
2025-09-17 19:01:38.802 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-17 19:02:53.165 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of tables from clipboard started
2025-09-17 19:02:53.166 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Table “Simulations” imported as “Simulations 3” since a table or table occurrence named “Simulations” already exists.
2025-09-17 19:02:53.171 +0300	Simulations 3	0	fields imported : 7
2025-09-17 19:02:53.171 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	tables imported : 1
2025-09-17 19:02:53.172 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-17 19:04:18.709 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import operations committed
2025-09-17 19:04:18.710 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	==================================================================
2025-09-17 19:04:38.353 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of script steps from clipboard started
2025-09-17 19:04:38.354 +0300	Roll Dice - Monte Carlo	0	script steps imported : 1
2025-09-17 19:04:38.355 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-17 19:04:45.555 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of script steps from clipboard started
2025-09-17 19:04:45.556 +0300	Roll Dice - Monte Carlo	0	script steps imported : 1
2025-09-17 19:04:45.557 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-17 19:04:48.458 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of script steps from clipboard started
2025-09-17 19:04:48.460 +0300	Roll Dice - Monte Carlo	0	script steps imported : 1
2025-09-17 19:04:48.461 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-17 19:06:04.290 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of script steps from clipboard started
2025-09-17 19:06:04.291 +0300	Roll Dice - Monte Carlo	0	script steps imported : 1
2025-09-17 19:06:04.291 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-17 19:20:24.372 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of script steps from clipboard started
2025-09-17 19:20:24.373 +0300	Throw Coin	0	script steps imported : 1
2025-09-17 19:20:24.374 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-21 15:40:05.148 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of scripts from clipboard started
2025-09-21 15:40:05.150 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Script “Throw Coin - Monte Carlo” imported as “Throw Coin - Monte Carlo 2” since a script named “Throw Coin - Monte Carlo” already exists.
2025-09-21 15:40:05.152 +0300	Throw Coin - Monte Carlo 2	0	script steps imported : 50
2025-09-21 15:40:05.154 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	scripts imported : 1
2025-09-21 15:40:05.154 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
2025-09-21 15:41:34.158 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import of script steps from clipboard started
2025-09-21 15:41:34.161 +0300	HyperLogLog - Hit Counter Estimation - Monte Carlo 2	0	script steps imported : 5
2025-09-21 15:41:34.162 +0300	Random - Demo - Monte Carlo Simulation.fmp12	0	Import completed
